,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
2990.52,-0.57331,2990.52,88.13518,2990.52,0.87534,2990.52,6.45229,2990.52,69.04482,2990.52,-12.68759
2989.27,3.89293,2989.27,92.1124,2989.27,9.97662,2989.27,11.08556,2989.27,78.66446,2989.27,-17.19665
2988.03,13.18631,2988.03,90.91695,2988.03,15.56858,2988.03,8.77254,2988.03,92.24015,2988.03,-17.60541
2986.78,17.67982,2986.78,89.89106,2986.78,13.92646,2986.78,11.47666,2986.78,102.50392,2986.78,-17.30518
2985.53,26.90831,2985.53,97.14796,2985.53,14.25119,2985.53,13.08785,2985.53,108.38888,2985.53,-20.30499
2984.29,35.84624,2984.29,94.49168,2984.29,16.32908,2984.29,4.90809,2984.29,102.19059,2984.29,-21.86876
2983.04,36.2356,2983.04,98.05048,2983.04,11.57753,2983.04,7.60728,2983.04,98.02628,2983.04,-24.21059
2981.79,48.66635,2981.79,102.79976,2981.79,14.4098,2981.79,13.47,2981.79,94.00805,2981.79,-22.83164
2980.54,51.16514,2980.54,108.30214,2980.54,10.61967,2980.54,15.0537,2980.54,98.15853,2980.54,-27.05281
2979.3,52.62724,2979.3,106.41301,2979.3,12.54604,2979.3,17.54153,2979.3,95.82655,2979.3,-26.75503
2978.05,50.45245,2978.05,97.50657,2978.05,16.65656,2978.05,30.40239,2978.05,100.49322,2978.05,-22.78771
2976.8,56.48323,2976.8,92.56607,2976.8,24.87748,2976.8,42.37859,2976.8,99.28163,2976.8,-20.80598
2975.55,60.39238,2975.55,103.5887,2975.55,20.04756,2975.55,52.31734,2975.55,91.37084,2975.55,-10.34333
2974.3,59.1947,2974.3,109.51754,2974.3,15.80948,2974.3,58.35633,2974.3,93.42851,2974.3,-5.12796
2973.06,57.98025,2973.06,110.32477,2973.06,2.72387,2973.06,65.70297,2973.06,91.69389,2973.06,-2.87637
2971.81,58.30128,2971.81,121.80934,2971.81,5.91003,2971.81,73.82459,2971.81,85.76502,2971.81,-13.2316
2970.56,57.17373,2970.56,121.89879,2970.56,9.40854,2970.56,79.10095,2970.56,79.23126,2970.56,-3.79474
2969.31,58.18596,2969.31,119.64663,2969.31,14.46503,2969.31,78.65646,2969.31,78.32673,2969.31,-0.46155
2968.06,58.80407,2968.06,116.15138,2968.06,21.74313,2968.06,72.13387,2968.06,77.6509,2968.06,2.50917
2966.81,57.96319,2966.81,118.32715,2966.81,24.12305,2966.81,77.48999,2966.81,81.11674,2966.81,1.49782
2965.56,56.42963,2965.56,116.06199,2965.56,22.5924,2965.56,75.0891,2965.56,86.16159,2965.56,4.20951
